FUNCTION                                                                     CALLS        %        TIME  [uS / CALLS]
--------                                                                     -----  -------        ----  [----------]
'Elixir.Flow.Coordinator':terminate/2                                            1     0.00           0  [      0.00]
'Elixir.Flow.Coordinator':'-init/1-fun-6-'/3                                     1     0.00           0  [      0.00]
'Elixir.Flow.Coordinator':'-init/1-fun-3-'/3                                     1     0.00           0  [      0.00]
'Elixir.Flow.Coordinator':'-init/1-fun-1-'/1                                     1     0.00           0  [      0.00]
'Elixir.IO':chardata_to_string/1                                                 1     0.00           0  [      0.00]
'Elixir.IO':inspect/1                                                            1     0.00           0  [      0.00]
'Elixir.IO':inspect/2                                                            1     0.00           0  [      0.00]
'Elixir.IO':inspect/3                                                            1     0.00           0  [      0.00]
'Elixir.IO':puts/1                                                               1     0.00           0  [      0.00]
raw_file_io:open/2                                                               1     0.00           0  [      0.00]
raw_file_io:open_1/3                                                             4     0.00           0  [      0.00]
raw_file_io:add_implicit_modes/1                                                 1     0.00           0  [      0.00]
raw_file_io:add_unless_matched/3                                                 2     0.00           0  [      0.00]
raw_file_io:match_list/1                                                         4     0.00           0  [      0.00]
raw_file_io:match_compressed/1                                                   4     0.00           0  [      0.00]
raw_file_io:match_delayed/1                                                      4     0.00           0  [      0.00]
raw_file_io:match_raw/1                                                          6     0.00           0  [      0.00]
raw_file_io:match_writable/1                                                     3     0.00           0  [      0.00]
raw_file_io:match_binary/1                                                       4     0.00           0  [      0.00]
raw_file_io:'-add_implicit_modes/1-fun-1-'/1                                     4     0.00           0  [      0.00]
raw_file_io:'-add_implicit_modes/1-fun-0-'/1                                     3     0.00           0  [      0.00]
raw_file_io:'-open/2-fun-3-'/1                                                   6     0.00           0  [      0.00]
raw_file_io:'-open/2-fun-2-'/1                                                   4     0.00           0  [      0.00]
raw_file_io:'-open/2-fun-1-'/1                                                   4     0.00           0  [      0.00]
raw_file_io:'-open/2-fun-0-'/1                                                   4     0.00           0  [      0.00]
'Elixir.Enumerable.File.Stream':read_modes/1                                     1     0.00           0  [      0.00]
'Elixir.Enumerable.File.Stream':reduce/3                                         1     0.00           0  [      0.00]
'Elixir.Enumerable.File.Stream':'-reduce/3-fun-0-'/3                             1     0.00           0  [      0.00]
'Elixir.Enumerable.File.Stream':'-read_modes/1-fun-0-'/2                         3     0.00           0  [      0.00]
'Elixir.Stream':resource/3                                                       2     0.00           0  [      0.00]
'Elixir.Stream':'-resource/3-fun-0-'/5                                           2     0.00           0  [      0.00]
logger_config:allow/2                                                            1     0.00           0  [      0.00]
file:open/2                                                                      1     0.00           0  [      0.00]
file:file_name/1                                                                 1     0.00           0  [      0.00]
'Elixir.String.Tokenizer':validate/2                                             1     0.00           0  [      0.00]
'Elixir.Flow.MapReducer':build_status/2                                          8     0.00           0  [      0.00]
'Elixir.Flow.MapReducer':handle_info/2                                           8     0.00           0  [      0.00]
'Elixir.Flow.MapReducer':handle_subscribe/4                                     16     0.00           0  [      0.00]
'Elixir.Flow.MapReducer':init/1                                                  8     0.00           0  [      0.00]
'Elixir.Flow.MapReducer':producer_status/3                                       8     0.00           0  [      0.00]
'Elixir.IO.ANSI':default_color/0                                                 1     0.00           0  [      0.00]
'Elixir.Flow':add_mapper/3                                                       1     0.00           0  [      0.00]
'Elixir.Flow':add_operation/2                                                    2     0.00           0  [      0.00]
'Elixir.Flow':from_enumerable/2                                                  1     0.00           0  [      0.00]
'Elixir.Flow':from_enumerables/2                                                 1     0.00           0  [      0.00]
'Elixir.Flow':'has_emit_reduce?'/1                                               1     0.00           0  [      0.00]
'Elixir.Flow':'has_on_trigger?'/1                                                1     0.00           0  [      0.00]
'Elixir.Flow':map/2                                                              1     0.00           0  [      0.00]
'Elixir.Flow':reduce/3                                                           1     0.00           0  [      0.00]
'Elixir.Flow':stages/1                                                           1     0.00           0  [      0.00]
'Elixir.Flow':'-has_any_reduce?/1-fun-0-'/1                                      1     0.00           0  [      0.00]
elixir_config:safe_get/2                                                         1     0.00           0  [      0.00]
'Elixir.Scribe':fetch_keys/1                                                     1     0.00           0  [      0.00]
'Elixir.Scribe':fetch_keys/2                                                     1     0.00           0  [      0.00]
'Elixir.Scribe':map_string_values/1                                              1     0.00           0  [      0.00]
'Elixir.Scribe':print/1                                                          1     0.00           0  [      0.00]
'Elixir.Scribe':print/2                                                          1     0.00           0  [      0.00]
'Elixir.Scribe':process_headers/1                                                1     0.00           0  [      0.00]
'Elixir.Scribe':string_value/1                                                   4     0.00           0  [      0.00]
'Elixir.Scribe':'-map_string_values/1-fun-0-'/1                                  4     0.00           0  [      0.00]
'Elixir.File':'stream!'/3                                                        1     0.00           0  [      0.00]
'Elixir.Flow.Materialize':build_reducer/2                                        1     0.00           0  [      0.00]
'Elixir.Flow.Materialize':build_trigger/1                                        1     0.00           0  [      0.00]
'Elixir.Flow.Materialize':mapper/2                                               1     0.00           0  [      0.00]
'Elixir.Flow.Materialize':reducer_ops/1                                          1     0.00           0  [      0.00]
'Elixir.Flow.Materialize':split_operations/1                                     1     0.00           0  [      0.00]
'Elixir.Flow.Materialize':split_operations/3                                     3     0.00           0  [      0.00]
'Elixir.Flow.Materialize':start_enumerables/4                                    1     0.00           0  [      0.00]
'Elixir.Flow.Materialize':start_producers/5                                      1     0.00           0  [      0.00]
'Elixir.Flow.Materialize':start_stages/6                                         1     0.00           0  [      0.00]
'Elixir.Flow.Materialize':streamer_spec/3                                        1     0.00           0  [      0.00]
'Elixir.Flow.Materialize':window_ops/3                                           1     0.00           0  [      0.00]
'Elixir.Flow.Materialize':window_periodically/2                                  1     0.00           0  [      0.00]
'Elixir.Flow.Materialize':window_trigger/4                                       1     0.00           0  [      0.00]
'Elixir.Flow.Materialize':'-start_enumerables/4-fun-1-'/6                        1     0.00           0  [      0.00]
'Elixir.Flow.Materialize':'-start_enumerables/4-lists^foldl/2-0-'/3              1     0.00           0  [      0.00]
'Elixir.Flow.Materialize':'-build_trigger/1-fun-4-'/3                            8     0.00           0  [      0.00]
'Elixir.Flow.Materialize':'-build_reducer/2-lists^foldl/2-0-'/3                  2     0.00           0  [      0.00]
'Elixir.Flow.Materialize':'-build_reducer/2-fun-0-'/2                            1     0.00           0  [      0.00]
'Elixir.Supervisor.Default':init/1                                               1     0.00           0  [      0.00]
logger_server:cache_module_level/1                                               1     0.00           0  [      0.00]
'Elixir.Enum':'any?'/2                                                           3     0.00           0  [      0.00]
'Elixir.Enum':any_list/2                                                         4     0.00           0  [      0.00]
'Elixir.Enum':sort_by/3                                                          1     0.00           0  [      0.00]
'Elixir.Enum':split/2                                                            2     0.00           0  [      0.00]
'Elixir.Database.Query':count_by_country_gender_and_age/0                        1     0.00           0  [      0.00]
'Elixir.Enumerable.Flow':reduce/3                                                1     0.00           0  [      0.00]
'Elixir.Enumerable.Flow':'-reduce/3-fun-0-'/1                                    1     0.00           0  [      0.00]
